policy,replication,readmission_rate,absolute_reduction,intervention_count
random,81,0.11791573452647278,0.0024235645041014164,1073
feature_only,81,0.10868754660700969,0.011651752423564504,1073
risk_only,81,0.10868754660700969,0.011651752423564504,1073
network_only,81,0.11903430275913497,0.001304996271439221,1073
risk_network,81,0.1104586129753915,0.009880686055182691,1073
random,82,0.12099179716629381,0.002609992542878456,1073
feature_only,82,0.10971290082028337,0.013888888888888895,1073
risk_only,82,0.10971290082028337,0.013888888888888895,1073
network_only,82,0.1215510812826249,0.002050708426547365,1073
risk_network,82,0.11232289336316181,0.011278896346010453,1073
random,83,0.12509321401938853,0.002703206562266941,1073
feature_only,83,0.11772930648769575,0.010067114093959717,1073
risk_only,83,0.11772930648769575,0.010067114093959717,1073
network_only,83,0.12518642803877703,0.002609992542878442,1073
risk_network,83,0.11819537658463833,0.009601043997017139,1073
random,84,0.11940715883668904,0.0027964205816554816,1073
feature_only,84,0.11036539895600299,0.01183818046234153,1073
risk_only,84,0.11036539895600299,0.01183818046234153,1073
network_only,84,0.11940715883668904,0.0027964205816554816,1073
risk_network,84,0.11241610738255034,0.009787472035794179,1073
random,85,0.11884787472035795,0.002982848620432507,1073
feature_only,85,0.10878076062639822,0.013049962714392238,1073
risk_only,85,0.10878076062639822,0.013049962714392238,1073
network_only,85,0.11968680089485459,0.002143922445935864,1073
risk_network,85,0.11036539895600299,0.011465324384787465,1073
random,86,0.12248322147651007,0.0020507084265473513,1073
feature_only,86,0.11204325130499627,0.012490678598061147,1073
risk_only,86,0.11204325130499627,0.012490678598061147,1073
network_only,86,0.12276286353467561,0.0017710663683818129,1073
risk_network,86,0.11306860551826994,0.011465324384787479,1073
random,87,0.11903430275913497,0.002982848620432521,1073
feature_only,87,0.11092468307233408,0.011092468307233413,1073
risk_only,87,0.11092468307233408,0.011092468307233413,1073
network_only,87,0.12015287099179717,0.0018642803877703257,1073
risk_network,87,0.11167039522744221,0.010346756152125283,1073
random,88,0.12127143922445936,0.0020507084265473513,1073
feature_only,88,0.11185682326621924,0.011465324384787479,1073
risk_only,88,0.11185682326621924,0.011465324384787479,1073
network_only,88,0.12136465324384788,0.0019574944071588385,1073
risk_network,88,0.11185682326621924,0.011465324384787479,1073
random,89,0.12416107382550336,0.0027964205816554816,1073
feature_only,89,0.11418717375093214,0.0127703206562267,1073
risk_only,89,0.11418717375093214,0.0127703206562267,1073
network_only,89,0.1255592841163311,0.0013982102908277338,1073
risk_network,89,0.11605145413870246,0.010906040268456374,1073
random,90,0.12574571215510813,0.002516778523489943,1073
feature_only,90,0.11400074571215511,0.01426174496644296,1073
risk_only,90,0.11400074571215511,0.01426174496644296,1073
network_only,90,0.1266778523489933,0.0015846383296047872,1073
risk_network,90,0.11558538404175989,0.012677106636838187,1073
random,91,0.11950037285607755,0.002982848620432521,1073
feature_only,91,0.11017897091722595,0.012304250559284122,1073
