seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
2026,5,risk_only,0.10952647278150635,0.011931394481730043,1073
2026,5,network_only,0.1197800149142431,0.0016778523489932862,1073
2026,5,risk_network,0.11213646532438479,0.0093214019388516,1073
2026,6,random,0.12546607009694258,0.0023303504847128897,1073
2026,6,risk_only,0.116331096196868,0.011465324384787465,1073
2026,6,network_only,0.12630499627143923,0.0014914243102162328,1073
2026,6,risk_network,0.1174496644295302,0.01034675615212527,1073
2026,7,random,0.11912751677852348,0.0027964205816554816,1073
2026,7,risk_only,0.10896718866517524,0.012956748695003725,1073
2026,7,network_only,0.12024608501118568,0.0016778523489932862,1073
2026,7,risk_network,0.11064504101416853,0.011278896346010439,1073
2026,8,random,0.12033929903057419,0.0016778523489933,1073
2026,8,risk_only,0.11083146905294557,0.011185682326621926,1073
2026,8,network_only,0.1208985831469053,0.0011185682326621954,1073
2026,8,risk_network,0.1127889634601044,0.009228187919463088,1073
2026,9,random,0.12378821774794929,0.0017710663683818129,1073
2026,9,risk_only,0.11306860551826994,0.012490678598061161,1073
2026,9,network_only,0.12369500372856078,0.0018642803877703257,1073
2026,9,risk_network,0.1145600298284862,0.0109992542878449,1073
2026,10,random,0.12257643549589858,0.002237136465324391,1073
2026,10,risk_only,0.11269574944071588,0.012117822520507096,1073
2026,10,network_only,0.12304250559284116,0.0017710663683818129,1073
2026,10,risk_network,0.11474645786726323,0.010067114093959745,1073
2026,11,random,0.12164429530201343,0.002143922445935864,1073
2026,11,risk_only,0.11073825503355705,0.013049962714392238,1073
2026,11,network_only,0.12239000745712156,0.0013982102908277338,1073
2026,11,risk_network,0.1127889634601044,0.010999254287844887,1073
2026,12,random,0.12462714392244593,0.0020507084265473513,1073
2026,12,risk_only,0.11428038777032065,0.012397464578672635,1073
2026,12,network_only,0.12425428784489187,0.0024235645041014164,1073
2026,12,risk_network,0.11614466815809098,0.010533184190902309,1073
2026,13,random,0.12005965697240865,0.002703206562266955,1073
2026,13,risk_only,0.11260253542132737,0.010160328113348244,1073
2026,13,network_only,0.12099179716629381,0.001771066368381799,1073
2026,13,risk_network,0.11372110365398956,0.009041759880686048,1073
2026,14,random,0.12183072334079045,0.0020507084265473513,1073
2026,14,risk_only,0.10961968680089486,0.014261744966442946,1073
2026,14,network_only,0.12173750932140194,0.002143922445935864,1073
2026,14,risk_network,0.11250932140193885,0.011372110365398952,1073
2026,15,random,0.12304250559284116,0.0027032065622669688,1073
2026,15,risk_only,0.11241610738255034,0.01332960477255779,1073
2026,15,network_only,0.1238814317673378,0.0018642803877703257,1073
2026,15,risk_network,0.11372110365398956,0.01202460850111857,1073
2026,16,random,0.12406785980611484,0.0031692766592095467,1073
2026,16,risk_only,0.11605145413870246,0.011185682326621926,1073
2026,16,network_only,0.12472035794183445,0.002516778523489943,1073
2026,16,risk_network,0.11642431021625653,0.010812826249067861,1073
2026,17,random,0.12341536167039523,0.0028896346010440083,1073
2026,17,risk_only,0.11381431767337807,0.012490678598061161,1073
2026,17,network_only,0.12444071588366891,0.0018642803877703257,1073
2026,17,risk_network,0.11474645786726323,0.011558538404176005,1073
2026,18,random,0.1215510812826249,0.0027964205816554816,1073
2026,18,risk_only,0.11120432513049963,0.013143176733780751,1073
2026,18,network_only,0.1232289336316182,0.0011185682326621815,1073
2026,18,risk_network,0.1122296793437733,0.012117822520507082,1073
2026,19,random,0.11707680835197613,0.002143922445935878,1073
2026,19,risk_only,0.10766219239373602,0.011558538404175991,1073
2026,19,network_only,0.1180089485458613,0.0012117822520507082,1073
2026,19,risk_network,0.10999254287844892,0.009228187919463088,1073
2026,20,random,0.11735645041014169,0.002143922445935864,1073
2026,20,risk_only,0.10831469052945562,0.011185682326621926,1073
2026,20,network_only,0.11782252050708426,0.0016778523489932862,1073
2026,20,risk_network,0.1098993288590604,0.009601043997017153,1073
2026,21,random,0.11968680089485459,0.0024235645041014164,1073
2026,21,risk_only,0.10738255033557047,0.014727815063385538,1073
2026,21,network_only,0.12024608501118568,0.0018642803877703257,1073
2026,21,risk_network,0.10952647278150635,0.01258389261744966,1073
2026,22,random,0.12332214765100671,0.0017710663683818129,1073
2026,22,risk_only,0.11316181953765847,0.011931394481730057,1073
2026,22,network_only,0.12332214765100671,0.0017710663683818129,1073
2026,22,risk_network,0.11465324384787472,0.01043997017151381,1073
2026,23,random,0.12080536912751678,0.0028896346010439944,1073
2026,23,risk_only,0.11083146905294557,0.012863534675615212,1073
2026,23,network_only,0.12239000745712156,0.001304996271439221,1073
2026,23,risk_network,0.11353467561521252,0.010160328113348258,1073
