policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
risk_based,41,10728,1073,1178,0.10980611483967188,0.11077668193383391,1306,0.12173750932140194,128,0.011931394481730057,0.09800918836140891,0.11929170549860205
network_informed,41,10728,1073,1190,0.11092468307233408,0.11241783754658474,1306,0.12173750932140194,116,0.010812826249067861,0.08882082695252681,0.10810810810810811
no_intervention,42,10728,0,1310,0.122110365398956,0.12342287122431879,1310,0.122110365398956,0,0.0,0.0,
random,42,10728,1073,1286,0.11987322893363161,0.12086444811339439,1310,0.122110365398956,24,0.002237136465324391,0.01832061068702295,0.022367194780987885
risk_based,42,10728,1073,1186,0.11055182699478001,0.11077668193383391,1310,0.122110365398956,124,0.011558538404175991,0.09465648854961835,0.11556383970177074
network_informed,42,10728,1073,1200,0.11185682326621924,0.11241783754658474,1310,0.122110365398956,110,0.01025354213273677,0.08396946564885502,0.10251630941286113
no_intervention,43,10728,0,1324,0.12341536167039523,0.12342287122431879,1324,0.12341536167039523,0,0.0,0.0,
random,43,10728,1073,1302,0.12136465324384788,0.12101516868185339,1324,0.12341536167039523,22,0.0020507084265473513,0.01661631419939576,0.02050326188257223
risk_based,43,10728,1073,1209,0.11269574944071588,0.11077668193383391,1324,0.12341536167039523,115,0.010719612229679348,0.08685800604229611,0.10717614165890028
network_informed,43,10728,1073,1219,0.11362788963460105,0.11241783754658474,1324,0.12341536167039523,105,0.009787472035794179,0.0793051359516616,0.097856477166822
no_intervention,44,10728,0,1295,0.12071215510812826,0.12342287122431879,1295,0.12071215510812826,0,0.0,0.0,
random,44,10728,1073,1270,0.11838180462341537,0.12112676295362854,1295,0.12071215510812826,25,0.0023303504847128897,0.019305019305019214,0.023299161230195712
risk_based,44,10728,1073,1177,0.10971290082028337,0.11077668193383391,1295,0.12071215510812826,118,0.010999254287844887,0.09111969111969108,0.10997204100652376
network_informed,44,10728,1073,1192,0.1111111111111111,0.11241783754658474,1295,0.12071215510812826,103,0.009601043997017153,0.07953667953667955,0.09599254426840634
